dataset,bits,M,target_metric,target_value,scorer,chosen_efSearch,achieved_metric,mean_total_ms,mean_search_ms,mean_rerank_ms,mean_visited_nodes
fiqa,128,16,Recall@10,0.8,simhash,200,0.81625,0.289958525,0.19615260416666663,0.09380592083333333,2977.15
fiqa,128,16,Recall@10,0.8,qacos_gated,75,0.8100000000000002,0.17529532083333332,0.1414621625,0.033833158333333335,1175.525
fiqa,128,32,Recall@10,0.8,simhash,200,0.8137500000000001,0.22496556666666667,0.14627392500000003,0.07869164166666667,4136.35
fiqa,128,32,Recall@10,0.8,qacos_gated,75,0.8125,0.22745051666666666,0.1953377166666667,0.032112800000000004,1620.4375
nfcorpus,128,16,Recall@10,0.8,simhash,300,0.8112499999999999,0.16272670416666665,0.09869027083333333,0.06403643333333334,2114.8875
nfcorpus,128,16,Recall@10,0.8,qacos_gated,200,0.8112499999999999,0.17724705833333332,0.13665122083333334,0.040595837499999995,1566.9875
nfcorpus,128,32,Recall@10,0.8,simhash,300,0.8112499999999999,0.16077457916666665,0.09924773333333332,0.06152684583333333,2229.45
nfcorpus,128,32,Recall@10,0.8,qacos_gated,200,0.8137500000000001,0.1839213541666667,0.13915018333333334,0.04477117083333333,1687.7125
fiqa,128,16,Recall@10,0.9,simhash,400,0.9037500000000002,0.3918647166666666,0.23645746666666667,0.15540725000000002,5340.5625
fiqa,128,16,Recall@10,0.9,qacos_gated,200,0.91875,0.4432420041666667,0.35391247499999995,0.08932952916666667,2636.7875
fiqa,128,32,Recall@10,0.9,simhash,500,0.9112500000000001,0.5100278125000001,0.33020698750000005,0.17982082500000002,8506.3875
fiqa,128,32,Recall@10,0.9,qacos_gated,200,0.91,0.41674975416666665,0.3410911041666667,0.07565865000000001,3606.0875
nfcorpus,128,16,Recall@10,0.9,simhash,,,,,,
nfcorpus,128,16,Recall@10,0.9,qacos_gated,,,,,,
nfcorpus,128,32,Recall@10,0.9,simhash,,,,,,
nfcorpus,128,32,Recall@10,0.9,qacos_gated,,,,,,
